Entity,Code,Day,Moderna,Oxford/AstraZeneca,Pfizer/BioNTech,Sinovac,Johnson&Johnson
Chile,CHL,2020-12-24,0,0,420,0,0
Chile,CHL,2020-12-25,0,0,5198,0,0
Chile,CHL,2020-12-26,0,0,8338,0,0
Chile,CHL,2020-12-27,0,0,8649,0,0
Chile,CHL,2020-12-28,0,0,8649,0,0
Chile,CHL,2020-12-29,0,0,8649,0,0
Chile,CHL,2020-12-30,0,0,8649,0,0
Chile,CHL,2020-12-31,0,0,8649,0,0
Chile,CHL,2021-01-01,0,0,8649,0,0
Chile,CHL,2021-01-02,0,0,8649,0,0
Chile,CHL,2021-01-03,0,0,8649,0,0
Chile,CHL,2021-01-04,0,0,9054,0,0
Chile,CHL,2021-01-05,0,0,10497,0,0
Chile,CHL,2021-01-06,0,0,10702,0,0
Chile,CHL,2021-01-07,0,0,10702,0,0
Chile,CHL,2021-01-08,0,0,10702,0,0
Chile,CHL,2021-01-09,0,0,10702,0,0
Chile,CHL,2021-01-10,0,0,10702,0,0
Chile,CHL,2021-01-11,0,0,10702,0,0
Chile,CHL,2021-01-12,0,0,10702,0,0
Chile,CHL,2021-01-13,0,0,11732,0,0
Chile,CHL,2021-01-14,0,0,18646,0,0
Chile,CHL,2021-01-15,0,0,22077,0,0
Chile,CHL,2021-01-16,0,0,22167,0,0
Chile,CHL,2021-01-17,0,0,22167,0,0
Chile,CHL,2021-01-18,0,0,33213,0,0
Chile,CHL,2021-01-19,0,0,52570,0,0
Chile,CHL,2021-01-20,0,0,61879,0,0
Chile,CHL,2021-01-21,0,0,64940,0,0
Chile,CHL,2021-01-22,0,0,65352,0,0
Chile,CHL,2021-01-23,0,0,65352,0,0
Chile,CHL,2021-01-24,0,0,65352,0,0
Chile,CHL,2021-01-25,0,0,66772,0,0
Chile,CHL,2021-01-26,0,0,67388,0,0
Chile,CHL,2021-01-27,0,0,67423,0,0
Chile,CHL,2021-01-28,0,0,67423,0,0
Chile,CHL,2021-01-29,0,0,67428,0,0
Chile,CHL,2021-01-30,0,0,67429,0,0
Chile,CHL,2021-01-31,0,0,67429,0,0
Chile,CHL,2021-02-01,0,0,67429,0,0
Chile,CHL,2021-02-02,0,0,67435,13182,0
Chile,CHL,2021-02-03,0,0,67435,183553,0
Chile,CHL,2021-02-04,0,0,69563,357557,0
Chile,CHL,2021-02-05,0,0,70251,526213,0
Chile,CHL,2021-02-06,0,0,70256,554063,0
Chile,CHL,2021-02-07,0,0,70257,562699,0
Chile,CHL,2021-02-08,0,0,82050,784144,0
Chile,CHL,2021-02-09,0,0,101505,1026508,0
Chile,CHL,2021-02-10,0,0,109940,1298920,0
Chile,CHL,2021-02-11,0,0,113009,1549962,0
Chile,CHL,2021-02-12,0,0,113364,1779044,0
Chile,CHL,2021-02-13,0,0,113398,1808551,0
Chile,CHL,2021-02-14,0,0,113398,1813017,0
Chile,CHL,2021-02-15,0,0,113399,2078849,0
