Entity,Code,Day,new_vaccinations_smoothed
Afghanistan,AFG,2021-02-23,1367
Afghanistan,AFG,2021-02-24,1367
Afghanistan,AFG,2021-02-25,1367
Afghanistan,AFG,2021-02-26,1367
Afghanistan,AFG,2021-02-27,1367
Afghanistan,AFG,2021-02-28,1367
Afghanistan,AFG,2021-03-01,1580
Afghanistan,AFG,2021-03-02,1794
Afghanistan,AFG,2021-03-03,2008
Afghanistan,AFG,2021-03-04,2221
Afghanistan,AFG,2021-03-05,2435
Afghanistan,AFG,2021-03-06,2649
Afghanistan,AFG,2021-03-07,2862
Afghanistan,AFG,2021-03-08,2862
Afghanistan,AFG,2021-03-09,2862
Afghanistan,AFG,2021-03-10,2862
Afghanistan,AFG,2021-03-11,2862
Afghanistan,AFG,2021-03-12,2862
Afghanistan,AFG,2021-03-13,2862
Afghanistan,AFG,2021-03-14,2862
Afghanistan,AFG,2021-03-15,2862
Afghanistan,AFG,2021-03-16,2862
Afghanistan,AFG,2021-03-17,2882
Afghanistan,AFG,2021-03-18,2902
Afghanistan,AFG,2021-03-19,2921
Afghanistan,AFG,2021-03-20,2941
Afghanistan,AFG,2021-03-21,2961
Afghanistan,AFG,2021-03-22,2980
Afghanistan,AFG,2021-03-23,3000
Afghanistan,AFG,2021-03-24,3000
Afghanistan,AFG,2021-03-25,3000
Afghanistan,AFG,2021-03-26,3000
Afghanistan,AFG,2021-03-27,3000
Afghanistan,AFG,2021-03-28,3000
Afghanistan,AFG,2021-03-29,3000
Afghanistan,AFG,2021-03-30,3000
Afghanistan,AFG,2021-03-31,3000
Afghanistan,AFG,2021-04-01,3000
Afghanistan,AFG,2021-04-02,3000
Afghanistan,AFG,2021-04-03,3000
Afghanistan,AFG,2021-04-04,3000
Afghanistan,AFG,2021-04-05,3000
Afghanistan,AFG,2021-04-06,3000
Afghanistan,AFG,2021-04-07,3000
Afghanistan,AFG,2021-04-08,3714
Afghanistan,AFG,2021-04-09,4429
Afghanistan,AFG,2021-04-10,5143
Afghanistan,AFG,2021-04-11,5857
Afghanistan,AFG,2021-04-12,6571
Afghanistan,AFG,2021-04-13,7286
Afghanistan,AFG,2021-04-14,8000
Afghanistan,AFG,2021-04-15,8000
Afghanistan,AFG,2021-04-16,8000
Afghanistan,AFG,2021-04-17,8000
Afghanistan,AFG,2021-04-18,8000
Afghanistan,AFG,2021-04-19,8000
Afghanistan,AFG,2021-04-20,8000
Afghanistan,AFG,2021-04-21,8000
Afghanistan,AFG,2021-04-22,8000
Africa,,2021-01-10,500
Africa,,2021-01-11,500
Africa,,2021-01-12,500
Africa,,2021-01-13,500
Africa,,2021-01-14,600
Africa,,2021-01-15,667
Africa,,2021-01-16,1000
Africa,,2021-01-17,1118
Africa,,2021-01-18,1236
Africa,,2021-01-19,1354
Africa,,2021-01-20,1595
Africa,,2021-01-21,1718
Africa,,2021-01-22,1841
Africa,,2021-01-23,1622
Africa,,2021-01-24,1433
Africa,,2021-01-25,1463
Africa,,2021-01-26,1677
Africa,,2021-01-27,1775
Africa,,2021-01-28,1965
Africa,,2021-01-29,1996
Africa,,2021-01-30,14836
Africa,,2021-01-31,19979
Africa,,2021-02-01,30975
Africa,,2021-02-02,38916
Africa,,2021-02-03,45937
Africa,,2021-02-04,51671
Africa,,2021-02-05,59446
Africa,,2021-02-06,54656
Africa,,2021-02-07,55849
Africa,,2021-02-08,50970
Africa,,2021-02-09,52305
Africa,,2021-02-10,64098
Africa,,2021-02-11,74046
Africa,,2021-02-12,102656
Africa,,2021-02-13,134483
Africa,,2021-02-14,151062
Africa,,2021-02-15,167642
Africa,,2021-02-16,186365
Africa,,2021-02-17,193118
Africa,,2021-02-18,199310
Africa,,2021-02-19,192631
