Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,146841882,1881.0663369268132,5745454,73.60011981977664,794573,3104743,39.772219359795216,89066,1.1409486999405516,12470,
United States of America,Americas,31708445,9579.51,396504,119.79,51809,566540,171.16,4924,1.49,731,Community transmission
India,South-East Asia,17313163,1254.57,2251244,163.13,352991,195123,14.14,16354,1.19,2812,Clusters of cases
Brazil,Americas,14308215,6731.4,408124,192,71137,389492,183.24,17814,8.38,3076,Community transmission
France,Europe,5413036,8322.71,205179,315.47,22849,102184,157.11,2094,3.22,153,Community transmission
Russian Federation,Europe,4771372,3269.53,60682,41.58,8803,108588,74.41,2660,1.82,356,Clusters of cases
Turkey,Europe,4629969,5489.71,361522,428.65,38553,38358,45.48,2432,2.88,347,Community transmission
The United Kingdom,Europe,4404886,6488.65,17062,25.13,1712,127428,187.71,158,0.23,11,Community transmission
Italy,Europe,3962674,6644.16,92543,155.17,13157,119238,199.92,2311,3.87,217,Clusters of cases
Spain,Europe,3456886,7303.39,27363,57.81,0,77496,163.73,157,0.33,0,Community transmission
Germany,Europe,3299325,3967.12,157063,188.85,11907,81624,98.15,1710,2.06,60,Community transmission
Argentina,Americas,2845872,6296.77,168125,371.99,21220,61474,136.02,2310,5.11,298,Community transmission
Poland,Europe,2762323,7277.29,66996,176.5,3467,65437,172.39,3304,8.7,22,Community transmission
Colombia,Americas,2757274,5418.86,121198,238.19,16730,70886,139.31,2955,5.81,440,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2396204,2852.86,159115,189.44,19165,69574,82.83,2842,3.38,454,Community transmission
Mexico,Americas,2326738,1804.61,21832,16.93,3308,214853,166.64,2625,2.04,349,Community transmission
Ukraine,Europe,2030333,4642.48,77317,176.79,5062,42518,97.22,2518,5.76,195,Community transmission
Peru,Americas,1754150,5320.14,56524,171.43,8495,59440,180.27,2643,8.02,428,Community transmission
